Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20210117.0,1769.357142857143,184.85714285714286,0.24127142857142858,0.002214285714285714,0.13471428571428573,0.8631428571428571,35992.7,36843.6,33804.9,122372685.9,0.07,0.03,0.03,19.08,13.01,1002014.0,642730.0,271874.0
20210627.0,1111.875,148.5,0.3289375,0.067875,0.160125,0.772,32283.7,34752.4,32001.2,205535768.1,-0.01,-0.02,-0.05,12.96,17.35,518219.0,379066.0,124640.0
20211005.0,106.0,32.0,-0.4019,0.145,0.068,0.787,49223.7,51887.0,49034.7,433273705.8,0.01,0.01,0.0,15.61,33.58,1037679.0,729159.0,312538.0
20210822.0,3277.4075757575756,582.5255208333333,0.3216595975378788,0.03611169507575758,0.14088972537878788,0.8229985795454545,48821.3,49490.0,48034.0,278508768.6,0.02,0.01,0.01,11.88,23.54,715639.0,474281.0,190631.0
20200430.0,994.0,153.0,0.0,0.0,0.0,1.0,8777.5,9455.9,8388.0,76967745.02,0.01,0.01,0.1,13.2,5.22,947585.0,687395.0,321972.0
20210309.0,1506.138888888889,242.30555555555554,0.24251250000000002,0.019,0.10270833333333333,0.878375,52376.9,54867.6,51833.8,165487483.1,0.02,0.07,0.04,25.44,24.99,1088598.0,782612.0,299682.0
20201027.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,13055.1,13785.8,13038.6,34302557.94,0.01,0.01,0.01,8.39,4.98,827512.0,600338.0,251938.0
20201121.0,254.66666666666666,37.833333333333336,0.11762500000000002,0.049249999999999995,0.123,0.82775,18659.4,18964.9,18322.3,38567436.63,0.04,0.01,0.01,18.14,8.67,1007240.0,663959.0,311189.0
20210404.0,1199.6349206349207,155.0,0.3854087301587301,0.007031746031746031,0.13485714285714287,0.8581269841269842,57052.5,58481.2,56432.6,119228330.2,0.1,0.05,0.05,14.76,27.88,1032167.0,618857.0,246007.0
20210513.0,1893.148148148148,241.1611111111111,0.4171710185185185,0.03037222222222222,0.15892685185185185,0.8107564814814814,49627.6,51360.8,45800.0,497271871.0,0.04,0.01,0.01,53.49,62.84,1187747.0,806882.0,276472.0
20210830.0,3277.4075757575756,582.5255208333333,0.3216595975378788,0.03611169507575758,0.14088972537878788,0.8229985795454545,48763.2,48869.4,46833.1,247649040.1,0.01,0.01,0.01,10.36,24.2,910173.0,591561.0,250955.0
20210316.0,1506.138888888889,242.30555555555554,0.24251250000000002,0.019,0.10270833333333333,0.878375,55607.1,56918.9,53240.3,409052587.5,0.02,0.02,0.04,16.32,20.47,1161912.0,822884.0,319493.0
20210128.0,5969.0,682.5,0.28595,0.0,0.1715,0.8285,30353.9,33761.2,29847.5,108315018.9,0.01,0.01,0.01,19.0,25.09,1097896.0,767142.0,325146.0
20201110.0,254.66666666666666,37.833333333333336,0.11762500000000002,0.049249999999999995,0.123,0.82775,15326.8,15458.1,15077.0,18125019.56,0.01,0.01,0.01,6.55,6.2,1026623.0,684892.0,303270.0
20211205.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,49166.5,49691.2,47726.0,489318419.3,0.0,0.01,0.01,14.4,32.84,978899.0,588178.0,215213.0
20201213.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,18809.8,19411.0,18715.0,24652286.65,0.0,0.01,0.01,12.24,8.05,938739.0,611911.0,276160.0
20210414.0,3169.714285714286,445.0,0.4307285714285714,0.027285714285714285,0.1337142857142857,0.8391428571428572,63578.7,64840.0,61000.0,487298143.9,0.12,0.09,0.11,29.35,50.8,1149773.0,854552.0,297494.0
20211212.0,158.5,30.5,-0.07945,0.053,0.058,0.889,49392.0,50774.9,48650.0,280893046.0,0.01,0.01,0.01,12.24,29.74,725043.0,567489.0,214808.0
20200516.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,9316.2,9582.8,9223.9,22091623.65,0.01,0.01,0.01,5.44,3.82,880534.0,589910.0,296555.0
20200702.0,303.75,79.0,0.22745,0.0,0.06525,0.93475,9231.4,9260.4,8944.1,22009723.03,0.01,0.01,0.01,4.51,3.64,951042.0,674745.0,339469.0
20210405.0,2064.0,353.0,0.0,0.0,0.0,1.0,58201.4,59254.1,56501.0,174821106.7,0.03,0.04,0.04,15.94,30.76,1229289.0,763702.0,289046.0
20210504.0,30.0,7.0,0.7269,0.0,0.236,0.764,57159.7,57188.2,53083.3,390469293.4,0.07,0.05,0.01,17.74,72.27,1293836.0,772207.0,300824.0
20201219.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,23113.0,24166.8,22737.2,46540822.44,0.05,0.01,0.04,22.44,18.79,1158142.0,756109.0,343536.0
20211221.0,3053.5,505.0,0.19324999999999998,0.1155,0.1025,0.782,46898.1,49322.0,46655.6,357318509.0,0.01,0.01,0.01,13.34,29.15,1009227.0,747663.0,304713.0
20200802.0,191.0,53.0,0.5267,0.0,0.175,0.825,11799.8,12108.7,9998.0,89202389.65,0.05,0.1,0.04,6.84,6.2,950873.0,616214.0,287869.0
20200920.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,11081.6,11081.6,10754.6,24039099.07,-0.01,-0.01,-0.01,4.32,4.96,820833.0,535691.0,259095.0
20210923.0,2542.5,257.5,0.7372000000000001,0.0245,0.1745,0.8015,43550.7,44978.2,43064.1,236772551.6,0.01,0.0,0.01,15.84,24.4,918846.0,642773.0,268689.0
20210611.0,1111.875,148.5,0.3289375,0.067875,0.160125,0.772,36673.0,37680.4,35926.2,209651638.4,0.01,0.01,0.0,17.29,21.11,874050.0,616007.0,216502.0
20200908.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,10372.1,10437.5,9851.8,60912156.03,0.01,0.01,0.01,5.04,4.93,974053.0,693543.0,332668.0
20210314.0,1506.138888888889,242.30555555555554,0.24251250000000002,0.019,0.10270833333333333,0.878375,61174.3,61700.0,59000.0,186155667.7,0.06,0.08,0.08,18.72,22.92,1155175.0,736008.0,308050.0
20211229.0,63.5,19.0,0.34505,0.0,0.1155,0.8845000000000001,47543.8,48139.5,46039.5,385992871.4,0.01,0.01,0.01,12.0,28.09,1142870.0,741024.0,276083.0
20201026.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,13031.3,13232.4,12772.0,24137486.7,0.01,0.01,0.01,7.24,4.43,825846.0,579939.0,252494.0
20200307.0,83.4,67.0,0.33916,0.0304,0.1418,0.828,9133.9,9184.9,8789.8,7525135.261,0.04,0.04,0.03,7.1,3.04,682432.0,526880.0,313312.0
20210605.0,999.0,192.0,-0.3612,0.079,0.0,0.921,36829.3,37962.4,34800.0,265851704.3,0.01,0.01,0.01,17.02,25.5,762659.0,537842.0,194580.0
20210713.0,1651.0,266.0,0.8402,0.0,0.375,0.625,33089.0,33341.0,32195.0,118153057.6,0.01,0.01,0.01,11.33,18.44,807050.0,542415.0,229916.0
20210421.0,1199.6349206349207,155.0,0.3854087301587301,0.007031746031746031,0.13485714285714287,0.8581269841269842,56426.1,56761.7,53602.0,345339357.8,0.01,0.01,0.01,14.11,36.88,918079.0,719498.0,226021.0
20200503.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,8971.6,9195.1,8718.3,33103252.73,0.01,0.01,0.02,8.28,4.96,909805.0,553075.0,281752.0
20210610.0,1111.875,148.5,0.3289375,0.067875,0.160125,0.772,37386.3,38451.5,35800.0,294611922.5,-0.01,-0.02,0.01,19.68,22.95,948298.0,679752.0,252983.0
20211209.0,190.5,35.0,0.31755,0.0245,0.1105,0.865,50472.2,50800.0,47317.0,487901273.5,0.01,0.01,0.01,10.59,29.61,1123743.0,707394.0,282775.0
20200715.0,5.0,1.0,0.4549,0.0,0.128,0.872,9253.4,9274.5,9161.0,14428470.61,0.01,0.01,0.01,4.5,5.56,971186.0,671171.0,316064.0
20210415.0,1199.6349206349207,155.0,0.3854087301587301,0.007031746031746031,0.13485714285714287,0.8581269841269842,62954.4,63772.1,62023.9,296178401.8,0.1,0.08,0.08,24.22,48.33,1366494.0,952400.0,359440.0
20210706.0,2113.75,253.75,0.29323125,0.0265,0.12475,0.8486875,33683.7,35100.0,33510.0,151140327.8,-0.01,0.0,-0.01,9.51,15.53,853332.0,579824.0,228279.0
20210523.0,7542.5,792.0,0.38155,0.0,0.23,0.77,37446.3,38271.7,31088.0,500827223.2,0.01,-0.01,0.0,25.2,38.41,957018.0,555526.0,194320.0
20201114.0,254.66666666666666,37.833333333333336,0.11762500000000002,0.049249999999999995,0.123,0.82775,16320.8,16325.8,15701.5,18254961.33,0.01,0.01,0.01,7.2,6.2,915336.0,613373.0,273511.0
20200414.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,6838.0,6974.2,6760.0,10645655.59,0.0,0.0,0.01,6.28,3.54,843493.0,583665.0,299391.0
20220118.0,1903.0,313.8333333333333,-0.010700000000000015,0.10516666666666667,0.09133333333333334,0.8035,42202.1,42675.2,41279.0,357390611.0,0.01,0.01,0.01,16.32,36.11,906852.0,654446.0,265057.0
20210103.0,176.0,16.0,0.5983,0.0,0.352,0.648,32181.3,34766.0,31500.0,190060494.2,0.12,0.12,0.11,30.6,17.35,1184688.0,812749.0,359116.0
20210429.0,93.0,15.5,0.71065,0.036,0.2125,0.7515000000000001,54833.1,55181.2,52340.1,234153663.4,0.01,0.01,0.01,15.12,30.13,986056.0,703520.0,259465.0
20200813.0,245.0,54.0,0.3094,0.111,0.191,0.699,11565.0,11787.0,11272.8,48028002.87,0.01,0.01,0.01,6.66,7.15,952528.0,690043.0,325346.0
20201225.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,23728.9,24783.7,23429.5,53166907.88,0.03,0.02,0.01,10.88,7.71,1021183.0,662980.0,303901.0
20200306.0,83.4,67.0,0.33916,0.0304,0.1418,0.828,9056.2,9168.7,8989.1,8833554.543,0.02,0.02,0.02,8.95,3.33,804945.0,601698.0,338383.0
20201113.0,254.66666666666666,37.833333333333336,0.11762500000000002,0.049249999999999995,0.123,0.82775,16290.4,16472.3,15954.2,28383384.22,0.01,0.01,0.01,9.16,6.2,999523.0,685725.0,300040.0
20211208.0,235.0,23.333333333333332,0.5753,0.0,0.20199999999999999,0.798,50582.3,51203.6,48600.0,451349974.8,0.01,0.01,0.01,10.59,30.15,927369.0,660440.0,266110.0
20200401.0,171.0,120.0,0.5267,0.061,0.184,0.754,6410.8,6678.0,6151.9,19440128.32,-0.02,-0.01,-0.05,5.29,3.72,824108.0,544088.0,281855.0
20220130.0,62.0,13.0,0.8091,0.0,0.455,0.545,38179.7,38366.0,37350.0,205231326.0,0.0,0.01,0.01,12.96,27.88,780477.0,553241.0,207173.0
20211120.0,1704.6666666666667,253.33333333333334,0.16463333333333333,0.0,0.03233333333333333,0.9676666666666667,58049.2,59850.0,57355.0,310644998.4,0.01,0.01,0.01,13.02,39.73,848464.0,634393.0,249652.0
20200406.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,6771.8,7350.0,6766.1,19128356.95,0.0,0.0,0.0,8.09,5.1,780832.0,557192.0,280470.0
20200416.0,419.0,94.0,0.0,0.0,0.0,1.0,6621.7,7186.5,6475.9,18215756.03,0.0,-0.01,-0.05,6.63,3.89,880665.0,635870.0,322903.0
20200315.0,83.4,67.0,0.33916,0.0304,0.1418,0.828,5176.6,5915.0,5102.0,16138877.74,-0.05,-0.05,-0.05,9.36,3.72,629326.0,413935.0,223230.0
20201112.0,254.66666666666666,37.833333333333336,0.11762500000000002,0.049249999999999995,0.123,0.82775,15686.5,16338.3,15450.0,37911608.35,0.01,0.01,0.01,8.51,6.2,1064270.0,721180.0,324855.0
20200519.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,9731.2,9895.1,9476.6,30215416.8,-0.01,0.01,0.01,5.9,3.86,890493.0,581379.0,274897.0
20200706.0,303.75,79.0,0.22745,0.0,0.06525,0.93475,9072.4,9374.1,9060.0,34101061.35,0.01,0.01,0.01,4.88,4.64,989688.0,678157.0,338767.0
20211202.0,953.75,123.0,0.4335,0.0,0.1415,0.8585,57187.5,57372.8,55752.5,337692238.2,0.01,0.02,0.01,12.7,39.63,1184757.0,781370.0,313261.0
20210503.0,2042.5,333.0,0.8187,0.0,0.373,0.627,56568.5,58977.9,56451.3,276554749.5,0.05,0.04,0.04,17.74,59.76,1268856.0,746177.0,287007.0
20210912.0,1870.1220238095239,278.0580357142857,0.37685818452380954,0.009379464285714286,0.12210714285714286,0.8685357142857143,45170.5,46443.0,44738.1,188488416.8,0.01,0.01,0.01,9.72,21.68,705573.0,495873.0,192691.0
20211025.0,638.0,72.0,0.0,0.0,0.0,1.0,60853.9,63710.7,60658.1,429536055.0,0.03,0.05,0.02,14.71,42.94,1079523.0,704167.0,284680.0
20210717.0,2113.75,253.75,0.29323125,0.0265,0.12475,0.8486875,31383.4,31950.9,31173.6,89815389.13,0.0,0.01,0.0,10.74,15.49,640355.0,458821.0,182047.0
20200628.0,232.0,155.0,0.4019,0.0,0.072,0.928,9012.8,9189.4,8933.2,16167462.11,0.01,0.01,0.01,4.68,3.72,686270.0,500152.0,264909.0
20210729.0,2398.0,281.0,0.3818,0.0,0.071,0.929,40016.1,40648.9,39255.0,292111567.1,0.01,0.0,0.01,15.38,20.31,880689.0,620900.0,262612.0
20200909.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,10127.1,10341.8,9983.7,30600579.13,0.01,0.01,0.01,4.73,7.43,968245.0,681429.0,314864.0
20210916.0,547.0,71.66666666666667,0.5598666666666666,0.0,0.18633333333333332,0.8136666666666666,48124.3,48520.0,47012.4,215858424.1,0.01,0.01,0.01,10.26,22.29,1021047.0,673139.0,271223.0
20210929.0,1870.1220238095239,278.0580357142857,0.37685818452380954,0.009379464285714286,0.12210714285714286,0.8685357142857143,41018.9,42593.0,40752.1,184926857.3,0.01,0.0,0.0,9.81,17.97,830989.0,589252.0,241991.0
20200409.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,7359.7,7371.6,6851.0,15121575.88,0.01,0.01,-0.01,6.91,5.1,730620.0,544185.0,286706.0
20200428.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,7772.2,7776.3,7660.7,10808620.91,0.01,0.01,0.01,7.4,4.25,926669.0,644967.0,323475.0
20201205.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,18652.5,19172.8,18505.7,17325178.56,0.01,0.01,0.01,9.03,6.82,1077064.0,642981.0,282599.0
20210901.0,1870.1220238095239,278.0580357142857,0.37685818452380954,0.009379464285714286,0.12210714285714286,0.8685357142857143,47095.5,49125.0,46503.8,224376539.3,0.02,0.04,0.03,10.08,24.85,954959.0,682571.0,280865.0
20211201.0,2993.0,421.6666666666667,0.2524,0.02816666666666667,0.14916666666666667,0.8228333333333334,56937.8,59038.7,56450.0,417797646.8,0.01,0.01,0.03,13.32,40.27,1057704.0,727357.0,288422.0
20200513.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,8810.5,9397.3,8790.8,32231739.18,0.01,0.01,0.01,7.08,3.75,858458.0,619855.0,296796.0
20200330.0,3.0,0.0,0.0803,0.061,0.071,0.869,5881.3,6600.0,5860.0,17904828.4,-0.03,-0.06,-0.03,5.92,3.63,770915.0,535787.0,276828.0
20211102.0,1930.9770429159316,245.61360964138743,0.33069542915931804,0.01409620811287478,0.12518903586125807,0.8607054967666079,60898.0,64281.4,60635.0,495641463.2,0.06,0.02,0.03,12.52,60.41,1035030.0,736296.0,297402.0
20201220.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,23827.1,24297.7,23085.0,39862615.54,0.07,0.08,0.04,12.6,8.67,1075417.0,638816.0,282043.0
20211225.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,50811.0,51139.9,50180.0,237352986.8,0.01,0.01,0.01,12.43,33.68,866151.0,580922.0,207803.0
20200328.0,83.4,67.0,0.33916,0.0304,0.1418,0.828,6358.0,6358.0,6027.5,19448682.98,0.0,-0.01,-0.04,6.06,3.9,627230.0,469113.0,240627.0
20210913.0,1870.1220238095239,278.0580357142857,0.37685818452380954,0.009379464285714286,0.12210714285714286,0.8685357142857143,46025.5,46852.2,43375.0,329259917.0,0.01,0.01,0.01,11.34,22.89,908372.0,609049.0,255970.0
20200825.0,1103.925925925926,241.74074074074076,0.37940740740740736,0.016296296296296295,0.14644444444444446,0.8374074074074074,11751.4,11765.8,11080.5,50297421.23,0.01,0.01,0.01,6.75,5.76,951716.0,678008.0,304409.0
20211031.0,196.0,9.0,0.0,0.0,0.0,1.0,61855.9,62397.0,59964.0,408215639.5,0.02,0.02,0.05,11.16,48.33,893617.0,574308.0,217435.0
20220221.0,818.75,71.5,0.166775,0.02325,0.12075000000000001,0.856,38380.0,39500.0,36800.0,389078244.9,-0.01,0.01,0.0,15.35,21.19,886316.0,615656.0,237402.0
20200421.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,6828.7,6940.5,6760.0,11010857.51,-0.01,-0.01,-0.01,5.93,4.06,818062.0,610555.0,310851.0
20220113.0,1483.5,235.5,0.0,0.0,0.0,1.0,43917.0,44421.0,42311.0,381607893.5,-0.01,-0.01,0.01,11.69,29.3,943218.0,695923.0,274515.0
20220131.0,1533.5,186.75,0.33752499999999996,0.08399999999999999,0.17275000000000001,0.7435,37882.5,38739.0,36626.7,333707039.6,0.01,0.01,-0.01,13.82,27.88,993797.0,671364.0,263410.0
20200719.0,709.0,227.0,0.0,0.0,0.0,1.0,9168.9,9229.0,9103.9,13991238.88,0.01,0.01,0.01,4.68,4.96,872974.0,550119.0,277093.0
20211219.0,3867.0,614.0,0.4215,0.0,0.167,0.833,46825.3,48280.0,46410.0,367966986.6,0.01,0.01,0.01,11.52,28.5,755797.0,557914.0,206719.0
20200612.0,232.0,155.0,0.4019,0.0,0.072,0.928,9280.7,9554.7,9238.4,17280083.15,0.01,0.01,0.0,5.94,4.07,909615.0,635165.0,318274.0
20200322.0,83.4,67.0,0.33916,0.0304,0.1418,0.828,6188.3,6402.0,5720.0,22804757.3,-0.01,0.0,0.01,6.84,3.72,579901.0,409829.0,209154.0
20210825.0,3277.4075757575756,582.5255208333333,0.3216595975378788,0.03611169507575758,0.14088972537878788,0.8229985795454545,47662.5,49250.0,47130.0,238867868.0,0.04,0.02,0.01,12.43,24.16,867743.0,636566.0,263009.0
20201226.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,24709.9,26869.3,24502.7,71245479.44,0.03,0.01,0.02,16.04,8.67,957062.0,627843.0,273954.0
20200514.0,13.0,14.0,0.0,0.0,0.0,1.0,9307.9,9931.8,9257.6,51588162.79,0.01,0.01,0.01,7.21,3.75,880861.0,593862.0,268750.0
20210201.0,74.4,21.4,0.07072000000000003,0.0638,0.07880000000000001,0.8573999999999999,33100.7,34693.8,32300.0,122663289.5,0.04,0.01,0.04,15.27,19.88,999221.0,724841.0,280863.0
20200927.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,10728.9,10798.7,10589.4,12675761.19,0.01,0.01,0.01,3.96,4.34,784428.0,538619.0,259382.0
20200926.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,10688.2,10823.0,10646.9,14666559.62,0.01,0.01,0.01,4.12,4.15,952990.0,591249.0,276162.0
20201212.0,487.42857142857144,56.57142857142857,0.13369285714285714,0.058571428571428566,0.11014285714285714,0.8312857142857143,18035.9,18942.1,18020.9,17923733.3,0.01,0.01,0.0,6.93,6.2,962538.0,654893.0,295410.0
20220103.0,904.5,113.5,0.36845000000000006,0.0,0.14,0.8600000000000001,47291.7,47577.0,45700.0,326687252.8,0.01,0.01,0.01,13.98,34.09,948843.0,630932.0,234793.0
20200522.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,9066.4,9271.5,8935.5,23049114.42,0.01,-0.01,0.0,5.76,3.71,797526.0,591400.0,278784.0
20201017.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,11317.9,11402.8,11259.7,7530971.688,0.01,0.01,0.01,3.94,3.55,851147.0,586741.0,275069.0
20211029.0,2672.116666666667,532.5999999999999,0.16159555555555555,0.04248888888888889,0.09638333333333333,0.8611166666666666,60590.7,62961.9,60193.0,472894245.6,0.01,0.02,0.02,13.6,66.44,1014855.0,758210.0,305733.0
20210527.0,1893.148148148148,241.1611111111111,0.4171710185185185,0.03037222222222222,0.15892685185185185,0.8107564814814814,39241.3,40399.0,37134.7,328474370.6,0.01,0.01,0.01,14.46,23.18,864432.0,602300.0,214035.0
20220119.0,6437.75,1378.5,0.168525,0.02825,0.06925,0.9025,42349.3,42559.4,41140.0,408738707.9,0.01,0.0,0.01,15.18,33.99,940760.0,663454.0,270334.0
20210413.0,1199.6349206349207,155.0,0.3854087301587301,0.007031746031746031,0.13485714285714287,0.8581269841269842,59863.4,63759.7,59815.0,430518557.6,0.09,0.08,0.09,26.42,43.37,1178027.0,839652.0,310213.0
20200703.0,303.75,79.0,0.22745,0.0,0.06525,0.93475,9087.1,9123.5,9038.1,12000862.6,0.01,0.01,0.01,3.99,3.47,944676.0,661454.0,331009.0
20210303.0,1506.138888888889,242.30555555555554,0.24251250000000002,0.019,0.10270833333333333,0.878375,48440.6,52623.9,48100.0,160801620.8,0.01,0.01,0.01,16.34,15.52,1185450.0,840642.0,333402.0
20200510.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,9537.3,9566.4,8000.0,69392679.98,0.06,0.04,0.01,9.36,4.96,869262.0,571802.0,286789.0
20210315.0,638.0,170.0,0.7073,0.0,0.158,0.842,59000.0,60632.9,54525.6,338468393.2,0.12,0.08,0.11,16.32,21.29,1167577.0,782966.0,292231.0
20200902.0,63.5,17.0,0.12111666666666666,0.0,0.035,0.965,11922.5,11952.4,11155.0,61354174.4,0.05,0.03,0.04,7.06,6.47,1029017.0,714425.0,317449.0
20210904.0,1870.1220238095239,278.0580357142857,0.37685818452380954,0.009379464285714286,0.12210714285714286,0.8685357142857143,50010.9,50548.5,49368.0,164611825.1,0.02,0.04,0.01,10.08,27.47,776022.0,574763.0,227732.0
20201003.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,10566.6,10599.6,10483.4,6507069.821,0.01,0.01,0.01,3.96,4.53,1002444.0,642826.0,310855.0
20200413.0,414.25,96.25,0.211225,0.01525,0.067,0.9175,6901.6,6901.6,6571.0,17006426.21,0.01,0.01,-0.02,6.63,3.8,764583.0,549230.0,288113.0
20201008.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,10666.7,10947.4,10532.4,20788596.2,0.0,0.0,0.0,4.36,4.34,1033122.0,698982.0,330227.0
20210220.0,74.4,21.4,0.07072000000000003,0.0638,0.07880000000000001,0.8573999999999999,55893.6,57622.6,53463.3,190744601.4,0.13,0.16,0.12,37.06,33.07,1187083.0,830094.0,320475.0
20201007.0,300.0,50.0,0.4052666666666667,0.0,0.146,0.8540000000000001,10570.1,10680.4,10532.9,15043704.95,0.01,0.0,0.0,3.96,4.14,1063425.0,762636.0,370554.0
20220222.0,193.05882352941177,36.411764705882355,0.18590588235294117,0.045647058823529416,0.08658823529411765,0.8677058823529411,37020.5,38448.4,36333.1,324319840.5,0.0,-0.01,0.0,16.98,22.86,886571.0,647191.0,260265.0
20210711.0,2113.75,253.75,0.29323125,0.0265,0.12475,0.8486875,33510.0,34611.3,33318.5,97552330.49,0.0,0.01,0.01,10.44,15.49,690684.0,436977.0,166144.0
20210731.0,2113.75,253.75,0.29323125,0.0265,0.12475,0.8486875,42202.9,42423.4,41026.4,245815752.1,0.0,0.01,0.01,15.38,21.09,720022.0,532121.0,207348.0
20200531.0,283.2857142857143,49.142857142857146,0.002414285714285716,0.027857142857142858,0.05742857142857143,0.9145714285714286,9696.2,9700.0,9398.6,23070281.26,0.01,0.01,0.01,5.76,4.34,801889.0,495162.0,258427.0
20200629.0,232.0,155.0,0.4019,0.0,0.072,0.928,9119.1,9234.9,9027.4,18164728.28,0.0,0.01,0.01,4.68,3.47,962232.0,625207.0,315424.0
20220227.0,128.0,30.0,0.10686666666666668,0.02266666666666667,0.055,0.9223333333333333,39117.3,39864.0,36977.4,388368905.7,0.01,0.01,0.0,12.96,21.07,768705.0,583361.0,211164.0
